Subject_id,cluster_label_cognitive,cluster_label_workload
AXSW,2,2
AXSW,0,0
AXSW,1,2
AXSW,2,2
AXSW,1,1
AXSW,2,0
AXSW,0,2
AXSW,1,1
AXSW,0,1
BHGY,0,0
BHGY,1,1
BHGY,2,2
BHGY,2,2
BHGY,1,1
BHGY,2,2
BHGY,0,2
BHGY,1,1
BHGY,1,1
BVCX,2,2
BVCX,1,1
BVCX,2,2
BVCX,1,1
BVCX,2,0
BVCX,0,2
BVCX,1,1
BVCX,0,2
CVBN,2,2
CVBN,2,0
CVBN,2,0
CVBN,2,0
CVBN,2,0
CVBN,2,0
CVBN,0,2
CVBN,1,1
CVBN,0,2
DFGH,0,0
DFGH,0,2
DFGH,0,2
DFGH,2,0
DFGH,1,1
DFGH,2,0
DFGH,0,0
DFGH,1,1
DFGH,2,0
DFZX,2,0
DFZX,0,2
DFZX,1,1
DFZX,2,0
DFZX,2,0
DFZX,2,0
DFZX,0,2
DFZX,1,1
DFZX,1,1
DKLQ,0,2
DKLQ,2,1
DKLQ,2,2
DKLQ,2,2
DKLQ,1,1
DKLQ,2,2
DKLQ,0,2
DKLQ,1,1
DKLQ,0,2
EDFR,0,2
EDFR,1,1
EDFR,2,2
EDFR,2,2
EDFR,2,1
EDFR,2,2
EDFR,0,2
EDFR,1,1
EDFR,0,2
FDSA,2,0
FDSA,0,0
FDSA,0,0
FDSA,2,0
FDSA,1,1
FDSA,2,1
FDSA,0,2
FDSA,1,1
FDXC,0,0
FDXC,1,1
FDXC,1,1
FDXC,2,2
FDXC,2,2
FDXC,2,0
FDXC,0,2
FDXC,1,1
FDXC,0,2
FGHZ,0,2
FGHZ,1,1
FGHZ,0,0
FGHZ,2,2
FGHZ,2,2
FGHZ,0,0
FGHZ,0,0
FGHZ,1,1
FGHZ,0,2
FTLD,0,0
FTLD,2,0
FTLD,0,0
FTLD,2,0
FTLD,0,2
FTLD,0,1
FTLD,0,2
FTYP,2,0
FTYP,1,1
FTYP,1,1
FTYP,2,0
FTYP,2,0
FTYP,2,0
FTYP,0,2
FTYP,1,1
FTYP,0,0
FYDR,2,2
FYDR,0,2
FYDR,2,2
FYDR,0,2
FYDR,1,1
FYDR,0,2
GHFJ,2,0
GHFJ,2,0
GHFJ,2,0
GHFJ,2,2
GHFJ,1,1
GHFJ,2,0
GHFJ,2,0
GHFJ,1,1
GHFJ,0,0
GHJK,0,2
GHJK,1,2
GHJK,2,2
GHJK,0,0
GHJK,0,0
GHJK,0,0
GHJK,0,2
GHJK,0,2
GHJK,0,2
GTYU,0,2
GTYU,1,1
GTYU,2,0
GTYU,2,0
GTYU,1,1
GTYU,2,2
GTYU,2,2
GTYU,1,1
GTYU,1,2
HGFD,0,0
HGFD,2,1
HGFD,2,0
HGFD,2,0
HGFD,2,1
HGFD,2,2
HGFD,0,0
HGFD,0,0
HGFD,0,0
HJKL,0,2
HJKL,0,2
HJKL,0,2
HJKL,2,2
HJKL,1,1
HJKL,1,1
HJKL,0,2
HJKL,1,1
HJKL,0,2
HPLX,0,2
HPLX,2,2
HPLX,2,2
HPLX,2,0
HPLX,1,1
HPLX,2,0
HPLX,0,0
HPLX,1,1
HPLX,0,2
JFDE,2,1
JFDE,2,2
JFDE,2,2
JFDE,2,1
JFDE,2,2
JFDE,2,2
JFDE,1,1
JFDE,0,2
JHGF,2,2
JHGF,1,2
JHGF,0,2
JHGF,0,2
JHGF,2,2
JHGF,2,2
JHGF,1,1
JHGF,2,2
JKLM,2,2
JKLM,2,0
JKLM,2,2
JKLM,2,2
JKLM,2,1
JKLM,2,2
JKLM,0,0
JKLM,1,1
JKLM,0,0
JKLZ,2,2
JKLZ,2,0
JKLZ,0,0
JKLZ,2,0
JKLZ,2,0
JKLZ,2,0
JKLZ,0,2
JKLZ,0,2
JKLZ,0,0
JKZX,2,0
JKZX,1,1
JKZX,1,1
JKZX,2,1
JKZX,1,1
JKZX,2,0
JKZX,0,0
JKZX,1,1
JKZX,0,0
KJHG,0,0
KJHG,1,1
KJHG,0,0
KJHG,0,0
KJHG,0,0
KJHG,0,0
KJHG,0,0
KJHG,1,1
KJHG,0,0
LKJH,2,2
LKJH,1,1
LKJH,2,2
LKJH,2,0
LKJH,2,0
LKJH,2,2
LKJH,1,1
LKJH,0,2
LKMN,2,0
LKMN,1,1
LKMN,2,2
LKMN,0,2
LKMN,0,2
LKMN,2,0
LKMN,0,2
LKMN,0,1
LKMN,0,2
LKPW,2,0
LKPW,1,1
LKPW,2,0
LKPW,0,0
LKPW,2,2
LKPW,0,0
LKPW,0,0
LKPW,1,1
LKPW,0,0
LPDW,1,1
LPDW,1,2
LPDW,1,2
LPDW,2,2
LPDW,2,2
LPDW,2,2
LPDW,0,2
LPDW,1,1
LPDW,1,1
LPZV,0,2
LPZV,2,2
LPZV,0,2
LPZV,0,2
LPZV,0,2
LPZV,2,2
LPZV,0,2
LPZV,0,1
LPZV,0,2
LRTB,0,0
LRTB,1,1
LRTB,1,1
LRTB,0,2
LRTB,1,1
LRTB,0,2
LRTB,0,0
LRTB,1,1
LRTB,0,2
MJKL,2,2
MJKL,1,2
MJKL,0,2
MJKL,0,2
MJKL,1,1
MJKL,2,0
MJKL,0,0
MJKL,1,1
MJKL,0,0
MJUY,0,0
MJUY,1,1
MJUY,0,0
MJUY,2,0
MJUY,2,2
MJUY,2,0
MJUY,0,0
MJUY,0,0
MJUY,0,0
MNBW,2,0
MNBW,2,2
MNBW,2,2
MNBW,2,0
MNBW,2,2
MNBW,2,2
MNBW,2,2
MNBW,0,2
MNBW,0,0
MNOP,2,0
MNOP,0,0
MNOP,2,2
MNOP,2,2
MNOP,2,2
MNOP,2,0
MNOP,0,0
MNOP,0,0
MNOP,0,0
MTYH,2,0
MTYH,1,1
MTYH,1,0
MTYH,2,0
MTYH,1,0
MTYH,2,2
MTYH,0,2
MTYH,1,2
MTYH,0,2
MYTZ,0,2
MYTZ,2,0
MYTZ,1,1
MYTZ,0,0
MYTZ,1,1
MYTZ,0,0
MYTZ,0,0
MYTZ,0,2
MYTZ,0,0
NBVC,1,1
NBVC,0,0
NBVC,0,0
NBVC,0,2
NBVC,1,1
NBVC,0,2
NHZA,2,2
NHZA,2,1
NHZA,2,2
NHZA,2,0
NHZA,2,0
NHZA,2,0
NHZA,0,2
NHZA,0,1
NHZA,0,0
NMBV,0,2
NMBV,0,2
NMBV,2,0
NMBV,2,2
NMBV,1,1
NMBV,2,0
NMBV,0,0
NMBV,0,2
NMBV,0,0
NMJU,2,2
NMJU,1,1
NMJU,1,2
NMJU,2,2
NMJU,2,2
NMJU,2,2
NMJU,0,2
NMJU,1,1
NMJU,0,0
NMKL,2,2
NMKL,1,1
NMKL,0,0
NMKL,2,0
NMKL,2,0
NMKL,2,0
NMKL,0,2
NMKL,1,1
NMKL,0,0
NVBX,0,2
NVBX,1,1
NVBX,0,2
NVBX,2,2
NVBX,1,1
NVBX,0,0
NVBX,0,2
NVBX,1,1
NVBX,1,1
OPKJ,0,0
OPKJ,1,1
OPKJ,0,2
OPKJ,2,0
OPKJ,2,1
OPKJ,2,0
OPKJ,0,2
OPKJ,0,0
OPKJ,0,0
PKJH,2,0
PKJH,1,1
PKJH,2,0
PKJH,2,2
PKJH,1,1
PKJH,2,2
PKJH,0,2
PKJH,1,1
PKJH,0,0
PLMO,2,2
PLMO,0,0
PLMO,1,1
PLMO,0,2
PLMO,0,0
PLMO,1,1
PLMO,0,2
PLRQ,2,0
PLRQ,1,1
PLRQ,2,2
PLRQ,2,2
PLRQ,2,1
PLRQ,2,2
PLRQ,0,2
PLRQ,1,1
PLRQ,0,2
POIU,1,1
POIU,1,1
POIU,2,2
POIU,2,1
POIU,2,0
POIU,0,0
POIU,1,1
POIU,0,0
QAXY,2,0
QAXY,2,0
QAXY,1,1
QAXY,2,0
QAXY,2,0
QAXY,2,0
QAXY,0,0
QAXY,1,1
QAXY,0,0
QAZW,2,0
QAZW,1,2
QAZW,0,2
QAZW,2,1
QAZW,2,2
QAZW,2,0
QAZW,0,2
QAZW,1,1
QAZW,0,0
QPLM,2,0
QPLM,0,0
QPLM,2,0
QPLM,2,2
QPLM,2,2
QPLM,2,0
QPLM,0,0
QPLM,1,1
QPLM,0,0
QPMN,1,1
QPMN,1,1
QPMN,1,1
QPMN,1,1
QPMN,1,1
QPMN,0,2
QPMN,1,1
QPMN,1,1
QPOI,0,0
QPOI,1,2
QPOI,1,2
QPOI,2,2
QPOI,1,1
QPOI,2,0
QPOI,0,2
QPOI,2,1
QPOI,0,2
QWER,1,1
QWER,1,1
QWER,1,0
QWER,2,0
QWER,2,1
QWER,2,0
QWER,0,2
QWER,1,1
QWER,1,2
QWRT,2,1
QWRT,1,1
QWRT,2,0
QWRT,0,2
QWRT,1,1
QWRT,0,2
QXZW,2,2
QXZW,0,2
QXZW,2,0
QXZW,1,1
QXZW,2,2
QXZW,2,2
QXZW,1,2
QXZW,0,2
REWQ,2,2
REWQ,1,1
REWQ,1,1
REWQ,2,2
REWQ,2,0
REWQ,2,2
REWQ,0,0
REWQ,1,2
REWQ,1,0
RIQW,0,0
RIQW,0,2
RIQW,0,2
RIQW,2,0
RIQW,2,0
RIQW,2,0
RIQW,0,0
RIQW,1,1
RIQW,0,0
RQWE,0,0
RQWE,1,1
RQWE,1,0
RQWE,0,0
RQWE,0,0
RQWE,0,2
RTGH,2,0
RTGH,1,1
RTGH,2,0
RTGH,2,0
RTGH,1,1
RTGH,0,0
RTGH,0,2
RTGH,1,1
RTGH,0,2
SBQRG,2,0
SBQRG,2,0
SBQRG,2,0
SBQRG,2,0
SBQRG,2,2
SBQRG,2,2
SBQRG,0,2
SBQRG,0,2
SBQRG,0,2
SBTBT,2,2
SBTBT,2,2
SBTBT,2,2
SBTBT,2,0
SBTBT,2,0
SBTBT,2,2
SBTBT,2,2
SBTBT,1,1
SBTBT,0,0
SHYXZ,2,0
SHYXZ,1,1
SHYXZ,0,0
SHYXZ,1,1
SHYXZ,0,0
SJWQP,2,0
SJWQP,0,2
SJWQP,2,2
SJWQP,2,0
SJWQP,1,1
SJWQP,0,2
SJWQP,0,0
SLMJK,2,0
SLMJK,1,1
SLMJK,1,1
SLMJK,2,0
SLMJK,2,1
SLMJK,2,0
SLMJK,0,0
SLMJK,1,1
SLMJK,0,0
SNMVN,0,2
SNMVN,1,0
SNMVN,2,0
SNMVN,2,2
SNMVN,1,1
SNMVN,2,2
SNMVN,0,2
SNMVN,1,1
SNMVN,0,0
SPKZR,0,2
SPKZR,1,1
SPKZR,0,2
SPKZR,0,0
SPKZR,2,0
SPKZR,2,0
SPKZR,0,0
SPKZR,1,1
SPKZR,0,0
SRKLP,1,2
SRKLP,2,2
SRKLP,0,2
SRKLP,2,2
SRKLP,2,1
SRKLP,2,2
SRKLP,0,0
SRKLP,1,1
SRKLP,0,2
STWXJ,1,1
STWXJ,1,1
STWXJ,1,1
STWXJ,2,0
STWXJ,1,1
STWXJ,2,2
STWXJ,0,0
STWXJ,1,1
STWXJ,1,2
SVTZM,0,2
SVTZM,2,2
SVTZM,1,1
SVTZM,2,2
SVTZM,1,1
SVTZM,2,0
SVTZM,0,2
SVTZM,1,1
SVTZM,0,2
SXVBN,0,2
SXVBN,1,1
SXVBN,1,1
SXVBN,0,0
SXVBN,0,0
SXVBN,0,0
SXVBN,0,0
SXVBN,0,0
SXVBN,0,2
TGVB,0,0
TGVB,2,0
TGVB,0,0
TGVB,2,0
TGVB,2,2
TGVB,2,0
TGVB,0,2
TGVB,0,2
TGVB,0,0
TYZX,2,2
TYZX,2,2
TYZX,2,0
TYZX,2,0
TYZX,1,1
TYZX,2,1
TYZX,0,0
TYZX,1,1
TYZX,0,0
UIOP,0,0
UIOP,1,1
UIOP,1,1
UIOP,0,2
UIOP,0,2
UIOP,0,2
UIOP,0,0
UIOP,1,1
UIOP,0,2
UJNH,2,0
UJNH,2,1
UJNH,2,0
UJNH,2,0
UJNH,2,1
UJNH,2,0
UJNH,2,0
UJNH,1,1
UJNH,2,2
UPLK,0,0
UPLK,1,1
UPLK,0,0
UPLK,2,0
UPLK,2,0
UPLK,2,0
UPLK,0,0
UPLK,1,1
UPLK,0,0
UYGH,2,0
UYGH,2,0
UYGH,2,0
UYGH,2,0
UYGH,2,1
UYGH,2,0
UYGH,0,0
UYGH,0,0
UYGH,0,0
UYTR,2,2
UYTR,2,1
UYTR,2,2
UYTR,2,0
UYTR,2,1
UYTR,2,1
UYTR,0,0
UYTR,1,1
UYTR,0,0
VBNM,2,0
VBNM,1,1
VBNM,2,0
VBNM,0,0
VBNM,2,0
VBNM,2,0
VBNM,0,0
VBNM,0,0
VBNM,0,0
VFTY,2,0
VFTY,1,1
VFTY,2,0
VFTY,2,0
VFTY,2,1
VFTY,2,0
VFTY,0,2
VFTY,1,1
VFTY,0,0
VIWZ,2,0
VIWZ,1,1
VIWZ,1,1
VIWZ,2,2
VIWZ,1,1
VIWZ,2,2
VIWZ,0,2
VIWZ,1,1
VIWZ,1,1
VNPL,1,1
VNPL,1,1
VNPL,2,2
VNPL,2,2
VNPL,2,0
VNPL,2,2
VNPL,2,2
VNPL,1,1
VNPL,0,2
WERT,2,0
WERT,1,1
WERT,1,1
WERT,2,2
WERT,1,1
WERT,2,2
WERT,0,2
WERT,1,1
WERT,1,2
WZXE,0,2
WZXE,0,0
WZXE,0,0
WZXE,0,0
WZXE,1,1
WZXE,0,0
WZXE,0,0
WZXE,1,1
WZXE,0,0
XCVH,2,0
XCVH,1,1
XCVH,0,0
XCVH,2,0
XCVH,0,2
XCVH,2,0
XCVH,0,0
XCVH,1,1
XCVH,0,0
XCVN,1,2
XCVN,1,1
XCVN,0,0
XCVN,0,0
XCVN,0,2
XCVN,0,2
XCVN,0,2
XCVN,1,2
XCVN,0,0
XRTY,2,2
XRTY,2,2
XRTY,2,2
XRTY,2,0
XRTY,2,2
XRTY,0,0
XRTY,0,2
XRTY,0,2
XUYP,0,0
XUYP,1,1
XUYP,1,1
XUYP,2,2
XUYP,2,1
XUYP,2,0
XUYP,0,0
XUYP,1,1
XUYP,0,1
XZPT,0,0
XZPT,0,0
XZPT,2,2
XZPT,2,0
XZPT,2,1
XZPT,2,0
XZPT,0,0
XZPT,1,1
XZPT,0,0
YTRE,2,2
YTRE,1,1
YTRE,1,1
YTRE,2,2
YTRE,2,2
YTRE,2,2
YTRE,2,2
YTRE,1,1
YTRE,0,2
YUZW,2,2
ZRTY,0,2
ZRTY,1,1
ZRTY,0,2
ZRTY,0,2
ZRTY,1,1
ZRTY,2,2
ZRTY,0,2
ZRTY,1,2
ZRTY,0,2
ZXAS,0,2
ZXAS,1,1
ZXAS,2,2
ZXAS,2,0
ZXAS,0,2
ZXAS,2,0
ZXAS,0,0
ZXAS,1,1
ZXAS,0,0
ZXCJ,2,0
ZXCJ,2,2
ZXCJ,0,0
ZXCJ,2,0
ZXCJ,2,0
ZXCJ,2,0
ZXCJ,2,0
ZXCJ,1,0
ZXCJ,0,0
ZXCV,2,2
ZXCV,2,0
ZXCV,2,2
ZXCV,2,0
ZXCV,2,1
ZXCV,2,0
ZXCV,2,2
ZXCV,1,1
ZXCV,2,0
ZXNM,2,0
ZXNM,1,1
ZXNM,2,0
ZXNM,2,0
ZXNM,2,0
ZXWE,0,2
ZXWE,0,2
ZXWE,0,2
ZXWE,2,2
ZXWE,1,2
ZXWE,2,2
ZXWE,0,2
ZXWE,0,2
ZXWE,0,0
ZYXW,0,2
ZYXW,1,1
ZYXW,0,2
ZYXW,0,2
ZYXW,2,2
ZYXW,2,2
ZYXW,0,2
ZYXW,0,2
ZYXW,0,2
