,userid,Age,Gender,Race,Education,trait_score,state_score,trust_score
0,HPLX,19,Male,Hispanic/Latino,GED,66.0,28.0,113
1,TYDF,20,Male,Black/African-American,GED,33.0,29.0,88
2,JFDE,22,Male,Asian,Undergraduate,62.0,27.0,96
3,UJNH,20,Male,Black/African-American,Undergraduate,66.0,30.0,74
4,MNBW,21,Male,White/Caucasian,GED,44.0,44.0,102
5,PLRQ,23,Male,White/Caucasian,Undergraduate,33.0,32.0,96
6,VBNM,19,Male,White/Caucasian,Undergraduate,34.0,38.0,99
7,REWQ,19,Male,Black/African-American,GED,37.0,30.0,81
8,NVBX,18,Male,Asian,Undergraduate,41.0,39.0,94
9,OPKJ,19,Male,Asian,GED,36.0,27.0,86
10,CVBN,21,Male,White/Caucasian,Undergraduate,51.0,34.0,96
11,LRTB,21,Female,Hispanic/Latino,GED,55.0,49.0,99
12,STWXJ,21,Female,Asian,Undergraduate,,,100
13,VNPL,26,Male,Asian,Graduate,42.0,41.0,89
14,SVTZM,22,Female,Black/African-American,Undergraduate,,,97
15,QAXY,19,Male,White/Caucasian,GED,42.0,37.0,98
16,LKJH,23,Male,Asian,Undergraduate,61.0,40.0,86
17,QPLM,19,Male,Black/African-American,GED,42.0,37.0,88
18,RQWE,21,Male,Black/African-American,Undergraduate,41.0,41.0,80
19,UYGH,18,Male,Hispanic/Latino,GED,34.0,34.0,84
20,XZPT,19,Male,Black/African-American,GED,21.0,20.0,93
21,BHGY,20,Non-binary,Black/African-American,Undergraduate,58.0,31.0,100
22,ZXNM,22,Male,White/Caucasian,Undergraduate,50.0,45.0,89
23,ZYXW,21,Male,White/Caucasian,Undergraduate,,,94
24,DFZX,19,Male,Asian,GED,61.0,34.0,83
25,XCVH,28,Male,Asian,Graduate,55.0,28.0,80
26,LKMN,22,Male,Hispanic/Latino,Undergraduate,67.0,28.0,98
27,MJKL,20,Female,Asian,GED,57.0,36.0,90
28,LPZV,20,Male,Asian,GED,31.0,31.0,103
29,QPMN,25,Prefer not to say,Asian,Graduate,43.0,33.0,96
30,XUYP,25,Female,Asian,Graduate,47.0,34.0,97
31,QPOI,21,Male,Asian,GED,62.0,25.0,94
32,SLMJK,20,Male,Asian,Undergraduate,,,79
33,SHYXZ,26,Female,Asian,Graduate,,,91
34,RTGH,22,Male,White/Caucasian,Undergraduate,64.0,27.0,104
35,SXVBN,23,Male,Black/African-American,Graduate,,,82
36,PKJH,19,Male,White/Caucasian,Undergraduate,35.0,35.0,83
37,TYZX,25,Female,Asian,Undergraduate,64.0,23.0,94
38,ZXWE,19,Male,Asian,GED,63.0,29.0,119
39,LPDW,21,Non-binary,White/Caucasian,Undergraduate,45.0,31.0,118
40,DFGH,22,Male,Asian,GED,51.0,43.0,94
41,MYTZ,19,Male,White/Caucasian,GED,,,102
42,QWRT,19,Male,Black/African-American,GED,28.0,29.0,86
43,SRKLP,23,Male,Asian,Undergraduate,,,87
44,YTRE,19,Male,White/Caucasian,Undergraduate,54.0,36.0,98
45,BVCX,27,Male,Prefer not to say,Graduate,44.0,48.0,94
46,NMJU,21,Male,White/Caucasian,Undergraduate,68.0,30.0,107
47,AXSW,20,Male,White/Caucasian,Undergraduate,49.0,34.0,91
48,SPKZR,22,Male,Asian,Undergraduate,,,108
49,JHGF,24,Male,Black/African-American,Undergraduate,55.0,32.0,91
50,TGVB,21,Male,White/Caucasian,Undergraduate,62.0,33.0,99
51,DKLQ,18,Male,Black/African-American,GED,37.0,32.0,98
52,MNOP,21,Non-binary,White/Caucasian,Undergraduate,43.0,42.0,91
53,HJKL,20,Female,Hispanic/Latino,GED,,,103
54,FDSA,19,Female,White/Caucasian,Undergraduate,45.0,41.0,93
55,MTYH,18,Male,Asian,GED,37.0,37.0,90
56,FYDR,20,Male,Hispanic/Latino,Undergraduate,33.0,28.0,85
57,SBTBT,32,Male,White/Caucasian,Undergraduate,,,73
58,KJHG,18,Female,Black/African-American,Undergraduate,53.0,30.0,78
59,XCVN,20,Female,Other,GED,42.0,45.0,78
60,JKLZ,21,Male,White/Caucasian,GED,46.0,50.0,85
61,UPLK,22,Female,Asian,Undergraduate,46.0,37.0,80
62,SJWQP,22,Female,White/Caucasian,Undergraduate,,,100
63,GHFJ,20,Female,Black/African-American,Undergraduate,34.0,31.0,90
64,ZXCV,19,Male,Black/African-American,GED,48.0,51.0,84
65,HGFD,21,Male,Black/African-American,Undergraduate,56.0,35.0,96
66,GTYU,22,Male,Black/African-American,GED,,,76
67,WERT,20,Female,White/Caucasian,Undergraduate,49.0,55.0,68
68,WZXE,38,Male,White/Caucasian,Undergraduate,29.0,35.0,96
69,XRTY,20,Male,Black/African-American,GED,27.0,23.0,81
70,SBQRG,24,Male,White/Caucasian,Undergraduate,,,88
71,UIOP,26,Male,Other,Graduate,45.0,50.0,97
72,SNMVN,23,Male,Asian,Graduate,,,100
73,ZXAS,21,Male,Hispanic/Latino,Undergraduate,71.0,23.0,115
74,QAZW,21,Male,Asian,Undergraduate,60.0,39.0,100
75,QWER,18,Male,White/Caucasian,Undergraduate,64.0,37.0,85
76,FDXC,18,Non-binary,White/Caucasian,Undergraduate,58.0,36.0,94
77,NBVC,19,Male,Asian,Undergraduate,57.0,34.0,91
78,GHJK,20,Female,Black/African-American,Undergraduate,46.0,27.0,74
79,NMBV,23,Male,Asian,Undergraduate,44.0,36.0,85
80,QXZW,21,Male,White/Caucasian,Undergraduate,36.0,38.0,85
81,NMKL,19,Female,Hispanic/Latino,Undergraduate,63.0,26.0,91
82,FTLD,20,Male,Asian,GED,,,94
83,FTYP,18,Male,Black/African-American,Undergraduate,36.0,36.0,96
84,ZRTY,25,Male,Asian,Undergraduate,21.0,20.0,87
85,ZXCJ,21,Male,White/Caucasian,Undergraduate,62.0,38.0,103
86,NHZA,18,Male,Asian,Undergraduate,57.0,41.0,90
87,MJUY,21,Male,White/Caucasian,Undergraduate,58.0,49.0,104
88,YUZW,18,Male,Asian,Undergraduate,59.0,20.0,71
89,UYTR,20,Male,Black/African-American,Undergraduate,20.0,21.0,102
90,JKZX,32,Male,Asian,Undergraduate,68.0,20.0,111
91,PLMO,20,Male,Black/African-American,GED,49.0,41.0,85
92,JKLM,19,Male,Asian,GED,44.0,43.0,78
93,VIWZ,26,Male,Asian,Graduate,63.0,36.0,64
94,EDFR,18,Female,White/Caucasian,GED,52.0,32.0,97
95,RIQW,18,Male,White/Caucasian,Undergraduate,61.0,37.0,75
96,LKPW,20,Male,Hispanic/Latino,GED,41.0,38.0,104
97,VFTY,25,Male,Asian,Graduate,58.0,54.0,60
98,POIU,24,Male,Asian,Graduate,40.0,53.0,90
99,FGHZ,22,Female,Asian,GED,50.0,41.0,100
